114	1338
44	517
105	1169
89	1005
25	299
166	1879
161	1843
172	1986
137	1573
138	1595
84	974
57	690
166	1836
103	1202
145	1646
100	1142
128	1454
110	1243
113	1287
44	537
13	194
61	725
80	906
159	1809
34	418
69	804
49	599
48	577
48	579
50	601
23	288
85	985
17	263
173	1970
189	2131
186	2075
14	197
144	1668
8	144
192	2147
161	1807
106	1206
59	698
107	1248
17	271
120	1330
54	647
149	1652
71	832
21	257
41	484
175	1983
103	1187
42	521
116	1328
101	1180
44	541
22	288
162	1823
29	376
139	1577
132	1515
199	2211
117	1324
115	1299
39	473
23	281
34	434
127	1477
177	2000
68	788
133	1528
47	585
118	1336
176	1954
69	811
80	956
120	1395
28	324
90	1006
40	509
149	1658
91	1050
116	1343
59	654
89	1036
15	225
31	363
104	1215
41	496
97	1119
143	1621
138	1603
188	2074
52	617
14	232
34	410
69	812
66	753
187	2122
